class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_suspicious,any_protective
0,552,1,0.004827135242521763,-0.004827135242521763,False,False,True
0,1476,1,0.026484906673431396,-0.026484906673431396,False,False,True
0,3942,2,0.0010441828053444624,-0.0009117171866819263,False,False,True
0,7288,4,0.0009021945297718048,-0.0008328519761562347,False,False,True
0,8116,1,0.0011414133477956057,0.0011414133477956057,False,True,False
0,10240,1,0.0003701159730553627,-0.0003701159730553627,False,False,True
0,10461,1,0.12395092332735658,-0.12395092332735658,False,False,True
0,11253,1,0.00046145543456077576,0.00046145543456077576,False,True,False
0,11637,2,0.00042969523929059505,-0.0002623612526804209,False,False,True
0,17791,1,0.009029871318489313,-0.009029871318489313,False,False,True
0,23091,1,0.07224607141688466,-0.07224607141688466,False,False,True
0,23402,1,0.08630336634814739,0.08630336634814739,False,True,False
0,26899,4,0.007639376446604729,-0.0007054260349832475,False,True,True
0,27625,2,0.02684907359071076,-0.013292045216076076,False,True,True
0,28901,1,0.041551053524017334,-0.041551053524017334,False,False,True
0,30009,1,0.040118790697306395,-0.040118790697306395,False,False,True
0,30904,1,0.11139141023159027,0.11139141023159027,False,True,False
0,30980,1,0.4882533401250839,-0.4882533401250839,False,False,True
0,34106,1,0.4082110710442066,-0.4082110710442066,False,False,True
0,41632,1,0.0010488738771528006,-0.0010488738771528006,False,False,True
0,44046,1,0.0005734441801905632,0.0005734441801905632,False,True,False
0,44551,2,0.0023709938395768404,-0.0012828712351620197,False,False,True
0,45631,1,0.11401623860001564,0.11401623860001564,False,True,False
0,47008,1,0.003330766689032316,-0.003330766689032316,False,False,True
0,47079,1,0.10823126463219523,-0.10823126463219523,False,False,True
0,49725,1,0.010694601573050022,-0.010694601573050022,False,False,True
0,50313,1,0.23704689741134644,-0.23704689741134644,False,False,True
0,50707,3,0.0003077064175158739,-0.00019000152436395487,False,False,True
0,53774,1,0.049740168265998363,-0.049740168265998363,False,False,True
0,54163,1,0.006931981537491083,-0.006931981537491083,False,False,True
0,55396,1,0.0002094954252243042,-0.0002094954252243042,False,False,True
0,59191,5,0.0001131006283685565,-4.814069252461195e-05,False,False,True
0,60076,3,0.018604636192321777,0.0008861025174458822,False,True,True
0,65258,1,0.0019731493666768074,0.0019731493666768074,False,True,False
0,65870,1,0.08732466353103518,-0.08732466353103518,False,False,True
0,73830,5,0.06683743000030518,0.004660463333129883,False,True,True
0,75343,1,0.015398434130474925,-0.015398434130474925,False,False,True
0,78151,1,0.0006146167870610952,0.0006146167870610952,False,True,False
0,78393,1,0.11395050585269928,0.11395050585269928,False,True,False
0,80169,5,0.00010610895697027445,-4.695206880569458e-05,False,False,True
0,81415,1,0.01133163645863533,0.01133163645863533,False,True,False
0,81578,2,0.27619386464357376,-0.13068124651908875,False,True,True
0,85859,1,0.08637141436338425,-0.08637141436338425,False,False,True
0,86160,1,0.36853928631171584,-0.36853928631171584,False,False,True
0,86318,4,0.00011323904618620872,-2.524274168536067e-05,False,True,True
0,86516,1,0.011628161650151014,-0.011628161650151014,False,False,True
0,87863,1,0.00023969542235136032,-0.00023969542235136032,False,False,True
0,90806,1,0.0017978223040699959,-0.0017978223040699959,False,False,True
0,91161,3,0.07107625808566809,-0.02353758007908861,False,True,True
0,92526,2,0.0009124705102294683,-0.000530257704667747,False,False,True
0,94557,1,0.012809231877326965,0.012809231877326965,False,True,False
0,94864,4,0.0001514754258096218,-2.983806189149618e-05,False,True,True
0,97977,1,0.6891847033984959,-0.6891847033984959,False,False,True
0,100082,1,0.10314490087330341,0.10314490087330341,False,True,False
0,102521,1,0.08217384526506066,-0.08217384526506066,False,False,True
0,102608,1,0.07358007878065109,-0.07358007878065109,False,False,True
0,104008,1,0.0027719696518033743,-0.0027719696518033743,False,False,True
0,104020,5,0.002110864035785198,-0.00042015807703137397,False,True,True
0,105444,1,0.07688698079437017,-0.07688698079437017,False,False,True
0,105557,4,0.009293823502957821,-0.0017428221181035042,False,True,True
0,106789,1,0.007975757587701082,-0.007975757587701082,False,False,True
0,107592,1,0.013906155712902546,-0.013906155712902546,False,False,True
0,110319,2,0.00034027895890176296,-0.00022112869191914797,False,False,True
0,117913,3,0.00010780058801174164,-8.686981163918972e-05,False,False,True
0,118864,1,0.27202222496271133,-0.27202222496271133,False,False,True
0,120320,1,0.001383256632834673,-0.001383256632834673,False,False,True
0,120496,2,0.09302306361496449,-0.04617577698081732,False,True,True
