class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_risk_increasing,any_protective
0,552,1,0.009898634627461433,-0.009898634627461433,False,False,True
0,1476,1,0.05716454889625311,-0.05716454889625311,False,False,True
0,3942,2,0.01784844882786274,-0.010678236838430166,False,False,True
0,7288,4,0.0065011754631996155,-0.005918094888329506,False,False,True
0,8116,1,0.000505596399307251,-0.000505596399307251,False,False,True
0,10240,1,0.0001432010903954506,0.0001432010903954506,False,True,False
0,10461,1,0.10067401500418782,-0.10067401500418782,False,False,True
0,11253,1,0.00017644069157540798,-0.00017644069157540798,False,False,True
0,11637,2,0.00016656052321195602,-8.261657785624266e-05,False,True,True
0,17791,1,0.035338619723916054,-0.035338619723916054,False,False,True
0,23091,1,0.06748876348137856,-0.06748876348137856,False,False,True
0,23402,1,0.027289150282740593,0.027289150282740593,False,True,False
0,26899,4,0.001115820137783885,-0.000382640166208148,False,True,True
0,27625,2,0.03614683169871569,-0.014084251946769655,False,True,True
0,28901,1,0.006184078752994537,0.006184078752994537,False,True,False
0,30009,1,0.010258985683321953,-0.010258985683321953,False,False,True
0,30904,1,0.02542039379477501,0.02542039379477501,False,True,False
0,30980,1,0.12552636861801147,-0.12552636861801147,False,False,True
0,34106,1,0.28270914033055305,-0.28270914033055305,False,False,True
0,41632,1,0.0005345726385712624,-0.0005345726385712624,False,False,True
0,44046,1,0.0006226762197911739,-0.0006226762197911739,False,False,True
0,44551,2,0.0035113333724439144,-0.001647195778787136,False,True,True
0,45631,1,0.025125835090875626,0.025125835090875626,False,True,False
0,47008,1,0.0007392838597297668,-0.0007392838597297668,False,False,True
0,47079,1,0.0861473293043673,-0.0861473293043673,False,False,True
0,49725,1,0.005735911428928375,-0.005735911428928375,False,False,True
0,50313,1,0.22553836833685637,-0.22553836833685637,False,False,True
0,50707,3,0.00019142241217195988,-5.516394351919492e-05,False,True,True
0,53774,1,0.0726542635820806,-0.0726542635820806,False,False,True
0,54163,1,0.021208406426012516,-0.021208406426012516,False,False,True
0,55396,1,0.0007789391092956066,0.0007789391092956066,False,True,False
0,59191,5,0.00016309833154082298,-4.564039409160614e-05,False,True,True
0,60076,3,0.06337529420852661,-0.008925974369049072,False,True,True
0,65258,1,0.0010528482962399721,-0.0010528482962399721,False,False,True
0,65870,1,0.07074897037819028,-0.07074897037819028,False,False,True
0,73830,5,0.1995227038860321,-0.032741352915763855,False,True,True
0,75343,1,0.009063598699867725,-0.009063598699867725,False,False,True
0,78151,1,0.001331533771008253,-0.001331533771008253,False,False,True
0,78393,1,0.025134779512882233,0.025134779512882233,False,True,False
0,80169,5,0.00016082916408777237,-4.503973759710789e-05,False,True,True
0,81415,1,0.0025462619960308075,-0.0025462619960308075,False,False,True
0,81578,2,0.334922730922699,-0.2193915843963623,True,False,True
0,85859,1,0.07014223746955395,-0.07014223746955395,False,False,True
0,86160,1,0.44585119374096394,-0.44585119374096394,False,False,True
0,86318,4,0.00011666887439787388,-6.810046033933759e-05,False,False,True
0,86516,1,0.03937410865910351,-0.03937410865910351,False,False,True
0,87863,1,0.0019089479465037584,-0.0019089479465037584,False,False,True
0,90806,1,0.0010273666121065617,0.0010273666121065617,False,True,False
0,91161,3,0.013981632888317108,-0.007424503564834595,False,False,True
0,92526,2,0.0009531930554658175,-0.0005459198728203773,False,False,True
0,94557,1,0.45595943089574575,0.45595943089574575,False,True,False
0,94864,4,9.975279681384563e-05,-7.363059557974339e-05,False,False,True
0,97977,1,0.6671445434913039,-0.6671445434913039,False,False,True
0,100082,1,0.02541346102952957,0.02541346102952957,False,True,False
0,102521,1,0.06748207099735737,-0.06748207099735737,False,False,True
0,102608,1,0.06206920510157943,-0.06206920510157943,False,False,True
0,104008,1,0.001809052424505353,-0.001809052424505353,False,False,True
0,104020,5,0.004572371020913124,-0.002612106502056122,False,True,True
0,105444,1,0.06415163399651647,-0.06415163399651647,False,False,True
0,105557,4,0.06583794765174389,-0.012612041318789124,False,True,True
0,106789,1,0.009001311846077442,-0.009001311846077442,False,False,True
0,107592,1,0.04114708513952792,-0.04114708513952792,False,False,True
0,110319,2,0.0001568896695971489,-8.709891699254513e-05,False,False,True
0,117913,3,0.003695367369800806,-0.0014330451376736164,False,True,True
0,118864,1,0.2738131582736969,-0.2738131582736969,False,False,True
0,120320,1,0.0007218825630843639,-0.0007218825630843639,False,False,True
0,120496,2,0.31883983314037323,-0.10405809304211289,False,True,True
0,121010,2,0.0007565049454569817,-0.0005555803654715419,False,False,True
0,121446,1,0.11753320693969727,-0.11753320693969727,False,False,True
0,123530,2,0.006797328591346741,-0.0052431002259254456,False,False,True
0,124229,1,0.024501748383045197,-0.024501748383045197,False,False,True
0,124836,2,0.0005470523610711098,-0.00036463653668761253,False,False,True
0,125393,1,0.902754683047533,-0.902754683047533,False,False,True
0,128506,1,0.003976812586188316,-0.003976812586188316,False,False,True
0,129169,2,0.023162122815847397,-0.021224774420261383,False,False,True
0,129282,1,0.00026381947100162506,0.00026381947100162506,False,True,False
0,130189,2,0.00094579067081213,-0.0006363687571138144,False,False,True
0,132850,1,0.002407236024737358,0.002407236024737358,False,True,False
0,134107,2,0.0023416553158313036,-0.0015387926250696182,False,False,True
0,134809,2,0.03227558918297291,-0.018298675306141376,False,False,True
0,135091,1,0.0025602024979889393,-0.0025602024979889393,False,False,True
0,136340,2,0.00016668392345309258,-8.332019206136465e-05,False,True,True
0,137053,3,0.00187687948346138,-0.0008205162982145945,False,True,True
0,138246,1,0.0009510554373264313,-0.0009510554373264313,False,False,True
0,143087,1,0.2132264981046319,-0.2132264981046319,False,False,True
0,143739,1,0.002319570630788803,0.002319570630788803,False,True,False
0,145607,2,0.1750171110033989,-0.07000219263136387,False,True,True
0,149409,3,0.01460421271622181,0.0004658435160915057,False,True,True
0,151171,1,0.16037582606077194,-0.16037582606077194,False,False,True
0,151714,2,0.0008105989545583725,-0.000496295397169888,False,False,True
0,152551,1,0.002635733224451542,-0.002635733224451542,False,False,True
0,153375,1,0.0015759719535708427,-0.0015759719535708427,False,False,True
0,156715,2,0.6135707944631577,0.23540302366018295,True,True,True
0,159052,1,0.03553410549648106,-0.03553410549648106,False,False,True
0,163356,2,0.0014763600192964077,-0.001108777243643999,False,False,True
0,165036,2,0.0024304790422320366,-0.0015036370605230331,False,False,True
0,167673,2,0.0003799877595156431,-0.00014458759687840939,False,True,True
0,168320,1,0.0020212167873978615,-0.0020212167873978615,False,False,True
0,172467,2,0.0003193337470293045,-0.00014661147724837065,False,True,True
0,172666,1,0.8423792608082294,-0.8423792608082294,False,False,True
0,175297,5,0.025000005960464478,-0.006937277317047119,False,True,True
0,176175,5,0.0181119441986084,-0.008617281913757324,False,False,True
0,176551,3,0.007995572406798601,-0.0026793906775613627,False,True,True
0,180608,1,0.00023872405290603638,-0.00023872405290603638,False,False,True
0,180788,1,0.05389208113774657,-0.05389208113774657,False,False,True
0,181987,1,0.009557295590639114,-0.009557295590639114,False,False,True
0,184025,1,0.7166017610579729,-0.7166017610579729,False,False,True
0,185067,1,0.00016581779345870018,0.00016581779345870018,False,True,False
0,186096,2,0.07612847164273262,-0.04616390913724899,False,False,True
0,186591,1,0.02574177458882332,0.02574177458882332,False,True,False
0,189016,1,0.08759215846657753,-0.08759215846657753,False,False,True
0,190019,4,0.0009085456840693951,-0.0004054292803630233,False,True,True
0,192379,1,0.49135809391736984,-0.49135809391736984,False,False,True
